Area,date_1,date_2
650.3225,2017-02-05,2017-02-17
85.068125,2017-02-17,2017-03-01
16.773125,2017-03-01,2017-03-13
24.135,2017-03-13,2017-03-25
0.018125,2017-03-25,2017-04-06
450.28125,2017-04-06,2017-04-18
501.14375,2017-04-18,2017-04-30
498.658125,2017-04-30,2017-05-12
455.12375,2017-05-12,2017-05-24
618.195,2017-05-24,2017-06-05
617.68,2017-06-05,2017-06-17
612.48375,2017-06-17,2017-06-29
734.895,2017-06-29,2017-07-11
717.74875,2017-07-11,2017-07-23
616.360625,2017-07-23,2017-08-04
848.251875,2017-08-04,2017-08-16
835.040625,2017-08-16,2017-08-28
874.816875,2017-08-28,2017-09-09
1060.866875,2017-09-09,2017-09-21
808.301875,2017-09-21,2017-10-03
642.04625,2017-10-03,2017-10-15
685.0975,2017-10-15,2017-10-27
940.15,2017-10-27,2017-11-08
940,2017-11-08,2017-11-20
957.98875,2017-11-20,2017-12-02
962.84375,2017-12-02,2017-12-14
985.00125,2017-12-14,2017-12-26
917.4675,2017-12-26,2018-01-07
937.889375,2018-01-07,2018-01-19
894.41125,2018-01-19,2018-01-31
844.45625,2018-01-31,2018-02-12
490.031875,2018-02-12,2018-02-24
464.521875,2018-02-24,2018-03-08
633.114375,2018-03-08,2018-03-20
766.873125,2018-03-20,2018-04-01
1012.81125,2018-04-01,2018-04-13
822.205,2018-04-13,2018-04-25
1076.506875,2018-04-25,2018-05-07
1078.766875,2018-05-07,2018-05-19
1080.680625,2018-05-19,2018-05-31
1118.22125,2018-05-31,2018-06-12
832.399375,2018-06-12,2018-06-24
568.634375,2018-06-24,2018-07-06
1035.210625,2018-07-06,2018-07-18
790.22625,2018-07-18,2018-07-30
1128.826875,2018-07-30,2018-08-11
1121.63875,2018-08-11,2018-08-23
1068.255,2018-08-23,2018-09-04
1074.158125,2018-09-04,2018-09-16
1066.589375,2018-09-16,2018-09-28
1093.60375,2018-09-28,2018-10-10
1108.67375,2018-10-10,2018-10-22
1129.84,2018-10-22,2018-11-03
1130.7725,2018-11-03,2018-11-15
1130.57125,2018-11-15,2018-11-27
1127.6,2018-11-27,2018-12-09
1130.335625,2018-12-09,2018-12-21
1127.555625,2018-12-21,2019-01-02
1131.97375,2019-01-02,2019-01-14
1124.85375,2019-01-14,2019-01-26
1022.42625,2019-01-26,2019-02-07
890.125625,2019-02-07,2019-02-19
695.21875,2019-02-19,2019-03-03
536.305625,2019-03-03,2019-03-15
380.62125,2019-03-15,2019-03-27
390.3025,2019-03-27,2019-04-08
589.2275,2019-04-08,2019-04-20
541.015,2019-04-20,2019-05-02
834.4375,2019-05-02,2019-05-14
1008.62375,2019-05-14,2019-05-26
915.5225,2019-05-26,2019-06-07
580.509375,2019-06-07,2019-06-19
683.96375,2019-06-19,2019-07-01
681.338125,2019-07-01,2019-07-13
731.765625,2019-07-13,2019-07-25
730.91,2019-07-25,2019-08-06
759.994375,2019-08-06,2019-08-18
544.5,2019-08-18,2019-08-30
749.075625,2019-08-30,2019-09-11
847.199375,2019-09-11,2019-09-23
845.3525,2019-09-23,2019-10-05
950.158125,2019-10-05,2019-10-17
1030.706875,2019-10-17,2019-10-29
1045.68875,2019-10-29,2019-11-10
1041.11875,2019-11-10,2019-11-22
1039.725,2019-11-22,2019-12-04
466.735625,2019-12-04,2019-12-16
666.00875,2019-12-16,2019-12-28
275.315625,2019-12-28,2020-01-09
645.34375,2020-01-09,2020-01-21
700.99125,2020-01-21,2020-02-02
301.44125,2020-02-02,2020-02-14
299.294375,2020-02-14,2020-02-26
426.37,2020-02-26,2020-03-09
21.816875,2020-03-09,2020-03-21
47.51375,2020-03-21,2020-04-02
143.905625,2020-04-02,2020-04-14
184.40375,2020-04-14,2020-04-26
311.574375,2020-04-26,2020-05-08
609.02625,2020-05-08,2020-05-20
764.481875,2020-05-20,2020-06-01
706.46875,2020-06-01,2020-06-13
743.2775,2020-06-13,2020-06-25
866.19375,2020-06-25,2020-07-07
782.3925,2020-07-07,2020-07-19
624.600625,2020-07-19,2020-07-31
752.8625,2020-07-31,2020-08-12
745.81625,2020-08-12,2020-08-24
1000.990625,2020-08-24,2020-09-05
